event_id,event_date,area,establishment_name,reported_observation,reported_action,reported_quantity,reported_authority,display_summary,action_category,establishment_context,menu_context,business_format,latitude,longitude,location_precision,source_urls,verification_status,context_notice,generated_at,schema_version,pipeline_version,record_count,publication_status,source_availability,source_availability_reason,evidence_support_status,last_successful_evidence_check_at,first_published_at
WBFS-7414c293e43a,,মধ্যমগ্রামের,রঙ দে বসন্তি ধাবা,লাইসেন্স সাসপেন্ড করা হয়েছে,লাইসেন্স সাসপেন্ড করা হয়েছে,,,Source reports a source-reported action involving রঙ দে বসন্তি ধাবা in মধ্যমগ্রামের.,other,restaurant / eatery,unknown,unknown,,,,https://tv9bangla.com/kolkata/west-bengal-food-safety-drive-irregularities-found-at-1525-food-centres-licences-of-13-processing-units-cancelled-1343938.html,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-8a5df7f75276,,Baduria,,officials recovered around 40 kg,officials recovered around 40 kg,around 40 kg,,Source reports a source-reported action involving restaurant / eatery in Baduria.,other,restaurant / eatery,unknown,unknown,22.7797328,88.7925594,city,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-8be6f81a4a4e,,বীরভূমের,,নানুর-সহ বীরভূমের একাধিক জায়গায় একযোগে অভিযান চালিয়েছে,অভিযান,,জেলা খাদ্য দফতর ও জেলা প্রশাসন,Source reports a source-reported food-safety event involving an unnamed establishment in বীরভূমের.,not reported,unknown,unknown,unknown,,,,https://bengali.abplive.com/district/40-resturants-and-sweet-shop-closed-before-durga-puja-2026-west-bengal-news-update-1192189,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-10 04:39:32.448783+00:00
WBFS-8e423a7f55e7,,Jorabagan,,visited Lake Market,,,KMC,Source reports an inspection or visit involving an unnamed establishment in Jorabagan.,inspection / visit only,unknown,unknown,unknown,22.5903989,88.3571238,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-cracks-whip-on-dacres-lane-eateries/articleshow/133811497.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-8f5630c1ed44,,Park Street,Peter Cat,visited by KMC teams,visited by KMC teams,,KMC,Source reports an inspection or visit involving Peter Cat in Park Street.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5551591,88.3501171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-9664baf9ee06,,Dacres Lane,Apanjan,the team visited,the team visited,,,Source reports an inspection or visit involving Apanjan in Dacres Lane.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5669959,88.3496854,street,https://timesofindia.indiatimes.com/city/kolkata/kmc-cracks-whip-on-dacres-lane-eateries/articleshow/133811497.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-a66bcab3fe68,,South City Mall,Lord of the Rings,inspection team suggested them,,,,Source reports an inspection or visit involving Lord of the Rings in South City Mall.,inspection / visit only,mall / food court,unknown,unknown,22.5015843,88.36171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-inspectors-knock-on-mall-eatery-doors-discards-meat-in-a-central-kolkata-restaurant/articleshow/133844089.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-acec95474b4d,,Park Street,Mocambo,visited by KMC teams,visited by KMC teams,,KMC,Source reports an inspection or visit involving Mocambo in Park Street.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5551591,88.3501171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-b370cb24cd67,,Park Street,Arsalan,visited by KMC teams,visited by KMC teams,,KMC,Source reports an inspection or visit involving Arsalan in Park Street.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5551591,88.3501171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-b4cb5982e1de,,সোদপুরের,বারবিকিউ নেশন,লাইসেন্স সাসপেন্ড করা হয়েছে,লাইসেন্স সাসপেন্ড করা হয়েছে,,,Source reports a source-reported action involving বারবিকিউ নেশন in সোদপুরের.,other,restaurant / eatery,unknown,unknown,,,,https://tv9bangla.com/kolkata/west-bengal-food-safety-drive-irregularities-found-at-1525-food-centres-licences-of-13-processing-units-cancelled-1343938.html,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-bd37fd0fd837,,Gariahat,fish market at Gariahat,food safety drive,,,Kolkata Municipal Corporation,Source reports an inspection or visit involving fish market at Gariahat in Gariahat.,inspection / visit only,market / vendor,unknown,unknown,22.5197789,88.3654297,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/on-last-day-of-food-safety-drive-kmc-targets-fish-paneer-and-spice-hubs/articleshow/133893508.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-c33c2b4318e1,,Park Street,Oasis,visited by KMC teams,visited by KMC teams,,KMC,Source reports an inspection or visit involving Oasis in Park Street.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5551591,88.3501171,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-team-reaches-park-street-seizes-stale-items-from-eateries/articleshow/133774167.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-c9641b8c4531,,Dacres Lane,Sharma Sweets,the team visited,the team visited,,,Source reports an inspection or visit involving Sharma Sweets in Dacres Lane.,inspection / visit only,restaurant / eatery,unknown,unknown,22.5669959,88.3496854,street,https://timesofindia.indiatimes.com/city/kolkata/kmc-cracks-whip-on-dacres-lane-eateries/articleshow/133811497.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-ca4e617582a8,,Bowbazar,Chhana Patti,food safety drive,,,Kolkata Municipal Corporation,Source reports an inspection or visit involving Chhana Patti in Bowbazar.,inspection / visit only,market / vendor,unknown,unknown,22.5704924,88.3615602,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/on-last-day-of-food-safety-drive-kmc-targets-fish-paneer-and-spice-hubs/articleshow/133893508.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-ce0e970c1361,,Tangra,Big Boss,food safety team wants proper action,,,Kolkata Municipal Corporation,Source reports a source-reported action involving Big Boss in Tangra.,other,restaurant / eatery,unknown,unknown,22.5565107,88.3795946,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-mulls-action-against-eatery/articleshow/133744154.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-d7a89f9a34e8,,Posta,spice market at Posta,food safety drive,,,Kolkata Municipal Corporation,Source reports an inspection or visit involving spice market at Posta in Posta.,inspection / visit only,market / vendor,unknown,unknown,,,,https://timesofindia.indiatimes.com/city/kolkata/on-last-day-of-food-safety-drive-kmc-targets-fish-paneer-and-spice-hubs/articleshow/133893508.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 23:11:25.626009+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-f880c67a6f96,,Lake Market,,visited Lake Market,visited Lake Market,,KMC,Source reports an inspection or visit involving an unnamed establishment in Lake Market.,inspection / visit only,unknown,unknown,unknown,22.5163786,88.3487233,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-cracks-whip-on-dacres-lane-eateries/articleshow/133811497.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-10 04:39:32.448783+00:00,2026-09-07 21:12:32.942437+00:00
WBFS-fb6dd3f19af8,,সেক্টর থ্রি-র,চৌরাসিয়া চাটস,লাইসেন্স সাসপেন্ড করা হয়েছে,লাইসেন্স সাসপেন্ড করা হয়েছে,,,Source reports a source-reported action involving চৌরাসিয়া চাটস in সেক্টর থ্রি-র.,other,restaurant / eatery,unknown,unknown,,,,https://tv9bangla.com/kolkata/west-bengal-food-safety-drive-irregularities-found-at-1525-food-centres-licences-of-13-processing-units-cancelled-1343938.html,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-10T04:39:32.448783+00:00,1.2.0,0.3.0,38,active,available,,supported_as_of,2026-09-09 22:27:35.798745+00:00,2026-09-07 21:12:32.942437+00:00
