event_id,event_date,area,establishment_name,reported_observation,reported_action,reported_quantity,reported_authority,display_summary,action_category,establishment_context,menu_context,business_format,latitude,longitude,location_precision,source_urls,verification_status,context_notice,generated_at,schema_version,pipeline_version,record_count
WBFS-22a7207f8823,,Hooghly,,sweet shop in Hooghly was also found,,,,Source reports a source-reported food-safety event involving sweet shop / bakery in Hooghly.,not reported,sweet shop / bakery,unknown,unknown,,,,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
WBFS-236ee7e08350,,East Midnapore,,authorities detected problems,,,,Source reports a source-reported food-safety event involving restaurant / eatery in East Midnapore.,not reported,restaurant / eatery,unknown,unknown,,,,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
WBFS-34ad5ff406c7,,Shaktigarh,,officials found food ingredients and products,,,,Source reports a source-reported food-safety event involving sweet shop / bakery in Shaktigarh.,not reported,sweet shop / bakery,unknown,unknown,,,,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
WBFS-56d6626ee956,,Digha,,inspections of 20 hotels reportedly uncovered,inspections of 20 hotels reportedly uncovered,,,Source reports an inspection or visit involving hotel / hospitality in Digha.,inspection / visit only,hotel / hospitality,unknown,unknown,21.623077,87.5082534,city,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
WBFS-8a5df7f75276,,Baduria,,officials recovered around 40 kg,officials recovered around 40 kg,around 40 kg,,Source reports a source-reported action involving restaurant / eatery in Baduria.,other,restaurant / eatery,unknown,unknown,22.7797328,88.7925594,city,https://www.businesstoday.in/amp/india/story/bengal-fda-crackdown-40kg-rotten-meat-500kg-stale-chicken-and-prawns-seized-ahead-of-durga-puja-553132-2026-09-03,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
WBFS-ce0e970c1361,,Tangra,Big Boss,food safety team wants proper action,,,Kolkata Municipal Corporation,Source reports a source-reported action involving Big Boss in Tangra.,other,restaurant / eatery,unknown,unknown,22.5565107,88.3795946,neighborhood,https://timesofindia.indiatimes.com/city/kolkata/kmc-mulls-action-against-eatery/articleshow/133744154.cms,SOURCE VERIFIED,"Independent, non-governmental public-source research. Inclusion is not a finding of wrongdoing. Counts describe records in this tracker, not official totals, prevalence, compliance, risk or group behavior. Read the sources and preserve this context when sharing.",2026-09-08T19:28:19.767481+00:00,1.1.0,0.2.0,6
